source,assertionType,evidenceType,createdOn,exactText,modality,statementType,drug1Lab,drug1Type,drug1Role,dose1,drug2Lab,drug2Type,drug2Role,dose2,numOfParticipants,auc
http://dbmi icode 01.dbmi.pitt.edu:80/DDI labels/069d7015 a2e4 4dbb 8255 2172e22a6300.html,drug drug interaction,evidence supports,2015 06 19 11:54:44  0400,"Omeprazole has been reported to interact with some antiretroviral drugs. The clinical importance and the mechanisms behind these interactions are not always known. Increased gastric pH during omeprazole treatment may change the absorption of the antiretroviral drug. Other possible interaction mechanisms are via CYP2C19. For some antiretroviral drugs, such as atazanavir and nelfinavir, decreased serum levels have been reported when given together with omeprazole. Following multiple doses of nelfinavir (1250 mg, twice daily) and omeprazole (40 mg daily), AUC was decreased by 36% and 92%, Cmax by 37% and 89% and Cmin by 39% and 75%, respectively, for nelfinavir and M8. Following multiple doses of atazanavir (400 mg daily) and omeprazole (40 mg daily, 2 hr before atazanavir), AUC was decreased by 94%, Cmax by 96%, and Cmin by 95%. Concomitant administration with omeprazole and drugs such as atazanavir and nelfinavir is therefore not recommended. For other antiretroviral drugs, such as saquinavir, elevated serum levels have been reported with an increase in AUC by 82%, in Cmax by 75% and in Cmin by 106% following multiple dosing of saquinavir/ritonavir (1,000 mg/100 mg) twice daily for 15 days with omeprazole 40 mg daily coadministered days 11 to 15. Dose reduction of saquinavir should be considered from the safety perspective for individual patients. There are also some antiretroviral drugs of which unchanged serum levels have been reported when given with omeprazole.",ncit:positive,ncit:Qualitative,omeprazole,active ingredient,dikbD2R:precipitant drug of interaction,,nelfinavir,active ingredient,dikbD2R:object drug of interaction,,,
http://dbmi icode 01.dbmi.pitt.edu:80/DDI labels/069d7015 a2e4 4dbb 8255 2172e22a6300.html,drug drug interaction,evidence supports,2015 06 26 14:49:51  0400,Studies evaluating concomitant administration of esomeprazole and either naproxen (non selective NSAID) or rofecoxib (COX 2 selective NSAID) did not identify any clinically relevant changes in the pharmacokinetic profiles of esomeprazole or these NSAIDs,ncit:negative,ncit:Qualitative,esomeprazole,active ingredient,dikbD2R:precipitant drug of interaction,,rofecoxib,active ingredient,dikbD2R:object drug of interaction,,,
http://dbmi icode 01.dbmi.pitt.edu:80/DDI labels/5d103551 978f 472a 9c62 51e6e4dea068.html,increase auc,evidence supports,2015 06 18 15:59:37  0400,"Concomitant treatment with rabeprazole (20 mg daily) and ketoconazole in healthy subjects decreased the bioavailability of ketoconazole by 30% and increased the AUC and Cmax for digoxin by 19% and 29%, respectively. Therefore, patients may need to be monitored when such drugs are taken concomitantly with rabeprazole. Co administration of rabeprazole and antacids produced no clinically relevant changes in plasma rabeprazole concentrations",ncit:positive,ncit:quantitative,digoxin,active ingredient,dikbD2R:object drug of interaction,0.02,rabeprazole,active ingredient,dikbD2R:precipitant drug of interaction,Unk,Unk,19%
http://dbmi icode 01.dbmi.pitt.edu:80/DDI labels/069d7015 a2e4 4dbb 8255 2172e22a6300.html,drug drug interaction,evidence supports,2015 06 26 14:49:36  0400,Studies evaluating concomitant administration of esomeprazole and either naproxen (non selective NSAID) or rofecoxib (COX 2 selective NSAID) did not identify any clinically relevant changes in the pharmacokinetic profiles of esomeprazole or these NSAIDs,ncit:negative,ncit:Qualitative,naproxen,active ingredient,dikbD2R:object drug of interaction,,esomeprazole,active ingredient,dikbD2R:precipitant drug of interaction,,,
http://dbmi icode 01.dbmi.pitt.edu:80/DDI labels/5d103551 978f 472a 9c62 51e6e4dea068.html,drug drug interaction,evidence supports,2015 06 18 15:56:35  0400,"7.4 Compounds Dependent on Gastric pH for Absorption\nDue to its effects on gastric acid secretion, rabeprazole can reduce the absorption of drugs where gastric pH is an important determinant of their bioavailability. Like with other drugs that decrease the intragastric acidity, the absorption of drugs such as ketoconazole, atazanavir, iron salts, erlotinib, and mycophenolate mofetil (MMF) can decrease, while the absorption of drugs such as digoxin can increase during treatment with ACIPHEX.",ncit:positive,ncit:Qualitative,ACIPHEX,active ingredient,dikbD2R:precipitant drug of interaction,,digoxin,active ingredient,dikbD2R:object drug of interaction,,,
http://dbmi icode 01.dbmi.pitt.edu:80/DDI labels/5d103551 978f 472a 9c62 51e6e4dea068.html,drug drug interaction,evidence supports,2015 06 18 15:58:07  0400,"Concomitant treatment with rabeprazole (20 mg daily) and ketoconazole in healthy subjects decreased the bioavailability of ketoconazole by 30% and increased the AUC and Cmax for digoxin by 19% and 29%, respectively. Therefore, patients may need to be monitored when such drugs are taken concomitantly with rabeprazole. Co administration of rabeprazole and antacids produced no clinically relevant changes in plasma rabeprazole concentrations",ncit:positive,ncit:Qualitative,rabeprazole,active ingredient,dikbD2R:precipitant drug of interaction,,ketoconazole,active ingredient,dikbD2R:object drug of interaction,,,
http://dbmi icode 01.dbmi.pitt.edu:80/DDI labels/5d103551 978f 472a 9c62 51e6e4dea068.html,drug drug interaction,evidence supports,2015 06 18 15:55:17  0400,"7.4 Compounds Dependent on Gastric pH for Absorption\nDue to its effects on gastric acid secretion, rabeprazole can reduce the absorption of drugs where gastric pH is an important determinant of their bioavailability. Like with other drugs that decrease the intragastric acidity, the absorption of drugs such as ketoconazole, atazanavir, iron salts, erlotinib, and mycophenolate mofetil (MMF) can decrease, while the absorption of drugs such as digoxin can increase during treatment with ACIPHEX. ",ncit:positive,ncit:Qualitative,rabeprazole,active ingredient,dikbD2R:object drug of interaction,,atazanavir,active ingredient,dikbD2R:precipitant drug of interaction,,,
	http://dbmi icode 01.dbmi.pitt.edu/DDI labels/d89017aa b8c3 4fd2 8e68 44e2cfd6f290.html,drug drug interaction,evidence supports,2015 06 24 14:59:49  0400,"Serotonin syndrome (including altered mental status, autonomic instability, and neuromuscular symptoms) has been described following the concomitant use of 5 HT3 receptor antagonists and other serotonergic drugs, including selective serotonin reuptake inhibitors (SSRIs) and serotonin and noradrenaline reuptake inhibitors (SNRIs)",ncit:positive,ncit:Qualitative,selective serotonin reuptake inhibitors (SSRIs),drug group,dikbD2R:precipitant drug of interaction,,5 HT3 receptor antagonists,drug group,dikbD2R:object drug of interaction,,,
http://dbmi icode 01.dbmi.pitt.edu:80/DDI labels/069d7015 a2e4 4dbb 8255 2172e22a6300.html,drug drug interaction,evidence supports,2015 06 19 10:56:21  0400,"Esomeprazole may potentially interfere with CYP2C19, the major esomeprazole metabolizing enzyme. Coadministration of esomeprazole 30 mg and diazepam, a CYP2C19 substrate, resulted in a 45% decrease in clearance of diazepam. Increased plasma levels of diazepam were observed 12 hours after dosing and onwards. However, at that time, the plasma levels of diazepam were below the therapeutic interval, and thus this interaction is unlikely to be of clinical relevance.",ncit:positive,ncit:Qualitative,esomeprazole,active ingredient,dikbD2R:precipitant drug of interaction,,diazepam,active ingredient,dikbD2R:object drug of interaction,,,
http://dbmi icode 01.dbmi.pitt.edu:80/DDI labels/069d7015 a2e4 4dbb 8255 2172e22a6300.html,drug drug interaction,evidence supports,2015 06 19 10:53:30  0400,"In vitro and in vivo studies have shown that esomeprazole is not likely to inhibit CYPs 1A2, 2A6, 2C9, 2D6, 2E1 and 3A4. No clinically relevant interactions with drugs metabolized by these CYP enzymes would be expected. Drug interaction studies have shown that esomeprazole does not have any clinically significant interactions with phenytoin, warfarin, quinidine, clarithromycin or amoxicillin. Postmarketing reports of changes in prothrombin measures have been received among patients on concomitant warfarin and esomeprazole therapy. Increases in INR and prothrombin time may lead to abnormal bleeding and even death. Patients treated with proton pump inhibitors and warfarin concomitantly may need to be monitored for increases in INR and prothrombin time",ncit:negative,ncit:Qualitative,esomeprazole,active ingredient,dikbD2R:precipitant drug of interaction,,phenytoin,active ingredient,dikbD2R:object drug of interaction,,,
	http://dbmi icode 01.dbmi.pitt.edu/DDI labels/d89017aa b8c3 4fd2 8e68 44e2cfd6f290.html,drug drug interaction,evidence supports,2015 06 24 15:00:05  0400,"Serotonin syndrome (including altered mental status, autonomic instability, and neuromuscular symptoms) has been described following the concomitant use of 5 HT3 receptor antagonists and other serotonergic drugs, including selective serotonin reuptake inhibitors (SSRIs) and serotonin and noradrenaline reuptake inhibitors (SNRIs)",ncit:positive,ncit:Qualitative,serotonin and noradrenaline reuptake inhibitors (SNRIs),drug group,dikbD2R:precipitant drug of interaction,,serotonergic drugs,drug group,dikbD2R:object drug of interaction,,,
http://dbmi icode 01.dbmi.pitt.edu:80/DDI labels/069d7015 a2e4 4dbb 8255 2172e22a6300.html,drug drug interaction,evidence supports,2015 06 19 11:57:05  0400,Studies evaluating concomitant administration of esomeprazole and either naproxen (non selective NSAID) or rofecoxib (COX 2 selective NSAID) did not identify any clinically relevant changes in the pharmacokinetic profiles of esomeprazole or these NSAIDs,ncit:negative,ncit:Qualitative,esomeprazole,active ingredient,dikbD2R:object drug of interaction,,naproxen,active ingredient,dikbD2R:precipitant drug of interaction,,,
	http://dbmi icode 01.dbmi.pitt.edu/DDI labels/d89017aa b8c3 4fd2 8e68 44e2cfd6f290.html,drug drug interaction,evidence supports,2015 06 24 15:00:25  0400,"In humans, carmustine, etoposide, and cisplatin do not affect the pharmacokinetics of ondansetron",ncit:negative,ncit:Qualitative,ondansetron,active ingredient,dikbD2R:object drug of interaction,,carmustine,active ingredient,dikbD2R:precipitant drug of interaction,,,
http://dbmi icode 01.dbmi.pitt.edu:80/DDI labels/069d7015 a2e4 4dbb 8255 2172e22a6300.html,drug drug interaction,evidence supports,2015 06 19 11:56:50  0400,Studies evaluating concomitant administration of esomeprazole and either naproxen (non selective NSAID) or rofecoxib (COX 2 selective NSAID) did not identify any clinically relevant changes in the pharmacokinetic profiles of esomeprazole or these NSAIDs.,ncit:negative,ncit:Qualitative,esomeprazole,active ingredient,dikbD2R:object drug of interaction,,rofecoxib,active ingredient,dikbD2R:precipitant drug of interaction,,,
http://dbmi icode 01.dbmi.pitt.edu:80/DDI labels/5d103551 978f 472a 9c62 51e6e4dea068.html,drug drug interaction,evidence supports,2015 06 18 15:54:59  0400,"7.4 Compounds Dependent on Gastric pH for Absorption\nDue to its effects on gastric acid secretion, rabeprazole can reduce the absorption of drugs where gastric pH is an important determinant of their bioavailability. Like with other drugs that decrease the intragastric acidity, the absorption of drugs such as ketoconazole, atazanavir, iron salts, erlotinib, and mycophenolate mofetil (MMF) can decrease, while the absorption of drugs such as digoxin can increase during treatment with ACIPHEX",ncit:positive,ncit:Qualitative,rabeprazole,active ingredient,dikbD2R:precipitant drug of interaction,,ketoconazole,active ingredient,dikbD2R:object drug of interaction,,,
http://dbmi icode 01.dbmi.pitt.edu:80/DDI labels/069d7015 a2e4 4dbb 8255 2172e22a6300.html,increase auc,evidence supports,2015 06 19 11:56:17  0400,"Omeprazole has been reported to interact with some antiretroviral drugs. The clinical importance and the mechanisms behind these interactions are not always known. Increased gastric pH during omeprazole treatment may change the absorption of the antiretroviral drug. Other possible interaction mechanisms are via CYP2C19. For some antiretroviral drugs, such as atazanavir and nelfinavir, decreased serum levels have been reported when given together with omeprazole. Following multiple doses of nelfinavir (1250 mg, twice daily) and omeprazole (40 mg daily), AUC was decreased by 36% and 92%, Cmax by 37% and 89% and Cmin by 39% and 75%, respectively, for nelfinavir and M8. Following multiple doses of atazanavir (400 mg daily) and omeprazole (40 mg daily, 2 hr before atazanavir), AUC was decreased by 94%, Cmax by 96%, and Cmin by 95%. Concomitant administration with omeprazole and drugs such as atazanavir and nelfinavir is therefore not recommended. For other antiretroviral drugs, such as saquinavir, elevated serum levels have been reported with an increase in AUC by 82%, in Cmax by 75% and in Cmin by 106% following multiple dosing of saquinavir/ritonavir (1,000 mg/100 mg) twice daily for 15 days with omeprazole 40 mg daily coadministered days 11 to 15. Dose reduction of saquinavir should be considered from the safety perspective for individual patients. There are also some antiretroviral drugs of which unchanged serum levels have been reported when given with omeprazole.",ncit:positive,ncit:quantitative,saquinavir,active ingredient,dikbD2R:object drug of interaction,1,omeprazole,active ingredient,dikbD2R:precipitant drug of interaction,0.04,Unk,82%
	http://dbmi icode 01.dbmi.pitt.edu/DDI labels/d89017aa b8c3 4fd2 8e68 44e2cfd6f290.html,drug drug interaction,evidence supports,2015 06 24 15:01:48  0400,The coadministration of ondansetron had no effect on the pharmacokinetics and pharmacodynamics of temazepam,ncit:negative,ncit:Qualitative,ondansetron,active ingredient,dikbD2R:precipitant drug of interaction,,temazepam,active ingredient,dikbD2R:object drug of interaction,,,
	http://dbmi icode 01.dbmi.pitt.edu/DDI labels/d89017aa b8c3 4fd2 8e68 44e2cfd6f290.html,drug drug interaction,evidence supports,2015 06 24 15:00:41  0400,"In humans, carmustine, etoposide, and cisplatin do not affect the pharmacokinetics of ondansetron",ncit:negative,ncit:Qualitative,etoposide,active ingredient,dikbD2R:precipitant drug of interaction,,ondansetron,active ingredient,dikbD2R:object drug of interaction,,,
http://dbmi icode 01.dbmi.pitt.edu:80/DDI labels/069d7015 a2e4 4dbb 8255 2172e22a6300.html,drug drug interaction,evidence supports,2015 06 19 10:53:45  0400,"In vitro and in vivo studies have shown that esomeprazole is not likely to inhibit CYPs 1A2, 2A6, 2C9, 2D6, 2E1 and 3A4. No clinically relevant interactions with drugs metabolized by these CYP enzymes would be expected. Drug interaction studies have shown that esomeprazole does not have any clinically significant interactions with phenytoin, warfarin, quinidine, clarithromycin or amoxicillin. Postmarketing reports of changes in prothrombin measures have been received among patients on concomitant warfarin and esomeprazole therapy. Increases in INR and prothrombin time may lead to abnormal bleeding and even death. Patients treated with proton pump inhibitors and warfarin concomitantly may need to be monitored for increases in INR and prothrombin time",ncit:negative,ncit:Qualitative,warfarin,active ingredient,dikbD2R:object drug of interaction,,esomeprazole,active ingredient,dikbD2R:precipitant drug of interaction,,,
http://dbmi icode 01.dbmi.pitt.edu:80/DDI labels/069d7015 a2e4 4dbb 8255 2172e22a6300.html,increase auc,evidence supports,2015 06 19 11:00:25  0400,"Omeprazole acts as an inhibitor of CYP2C19. Omeprazole, given in doses of 40 mg daily for one week to 20 healthy subjects in cross over study, increased Cmax and AUC of cilostazol by 18% and 26%, respectively. Cmax and AUC of one of its active metabolites, 3,4 dihydro cilostazol, which has 4 to 7 times the activity of cilostazol, were increased by 29% and 69%, respectively. Coadministration of cilostazol with esomeprazole is expected to increase concentrations of cilostazol and its above mentioned active metabolite. Therefore, a dose reduction of cilostazol from 100 mg twice daily to 50 mg twice daily should be considered.",ncit:positive,ncit:quantitative,cilostazol,active ingredient,dikbD2R:object drug of interaction,0.04,Omeprazole,active ingredient,dikbD2R:precipitant drug of interaction,Unk,20,26%
http://dbmi icode 01.dbmi.pitt.edu:80/DDI labels/069d7015 a2e4 4dbb 8255 2172e22a6300.html,drug drug interaction,evidence supports,2015 06 19 11:03:41  0400,"Drugs known to induce CYP2C19 or CYP3A4 (such as rifampin) may lead to decreased esomeprazole serum levels. Omeprazole, of which esomeprazole is an enantiomer, has been reported to interact with St. John’s wort, an inducer of CYP3A4. In a cross over study in 12 healthy male subjects, St John’s wort (300 mg three times daily for 14 days) significantly decreased the systemic exposure of omeprazole in CYP2C19 poor metabolizers (Cmax and AUC decreased by 37.5% and 37.9%, respectively) and extensive metabolizers (Cmax and AUC decreased by 49.6% and 43.9%, respectively). Avoid concomitant use of St. John’s Wort or rifampin with esomeprazole sodium. \n Coadministration of oral contraceptives, diazepam, phenytoin, or quinidine did not seem to change the pharmacokinetic profile of esomeprazole.",ncit:positive,ncit:Qualitative,esomeprazole,active ingredient,dikbD2R:object drug of interaction,,rifampin,active ingredient,dikbD2R:precipitant drug of interaction,,,
http://dbmi icode 01.dbmi.pitt.edu:80/DDI labels/5d103551 978f 472a 9c62 51e6e4dea068.html,drug drug interaction,evidence supports,2015 06 18 16:05:33  0400,7.8 Clopidogrel\nConcomitant administration of rabeprazole and clopidogrel in healthy subjects had no clinically meaningful effect on exposure to the active metabolite of clopidogrel [see Clinical Pharmacology (12.3)]. No dose adjustment of clopidogrel is necessary when administered with an approved dose of ACIPHEX,ncit:negative,ncit:Qualitative,ACIPHEX,drug product,dikbD2R:precipitant drug of interaction,,clopidogrel,active ingredient,dikbD2R:object drug of interaction,,,
http://dbmi icode 01.dbmi.pitt.edu:80/DDI labels/5d103551 978f 472a 9c62 51e6e4dea068.html,drug drug interaction,evidence supports,2015 06 18 15:55:36  0400,"7.4 Compounds Dependent on Gastric pH for Absorption\nDue to its effects on gastric acid secretion, rabeprazole can reduce the absorption of drugs where gastric pH is an important determinant of their bioavailability. Like with other drugs that decrease the intragastric acidity, the absorption of drugs such as ketoconazole, atazanavir, iron salts, erlotinib, and mycophenolate mofetil (MMF) can decrease, while the absorption of drugs such as digoxin can increase during treatment with ACIPHEX.",ncit:positive,ncit:Qualitative,rabeprazole,active ingredient,dikbD2R:precipitant drug of interaction,,erlotinib,active ingredient,dikbD2R:object drug of interaction,,,
